Sample	Sample_name	Sample_number	Number	Seq_sample_name_SameassampleFormerginginR	Experiment_type	Experiment	Colors	Sample_type	Sample_type_simple	Sample_type_new	Sample_type_RF	Time	Temperature	FrozenUnfrozenSimple	FrozenUnfrozen	StoragePlacementType	Replicate	Flow_cell_lane	Concentration_DTU	ConcentrationNum_DTU	Date_of_collection	Freeze_thaw_cycles	Temperature_sampling_day	Precipitation	Precipitation_the_day_before	Replicate_Groups	SpikedUnspiked	Replicate_Boxplot	Matching_samples	Library_preparation	Sequencing_platform	Reads_Total	Bases_Total	Reads_AfterTrim	Bases_AfterTrim	Archaea	Bacteria	Bacteria_draft	Common_animals	Common_plants	Fungi	Human	HumanMicrobiome	Parasites_other	Parasites_vertebrates	ResFinder	Unmapped	Virulence	VirulenceFactors	Virus	Mapped	MappedParsed	ReadsNotPhiX	PercentUnmapped	PercentPhiX
1	DTU2016_MG_466_HX_P1ECPBS_0h	P1ECPBS_0h	1	1	DTU2016_MG_466_HX_P1ECPBS_0h	Handling_experiment	Pig_feces_1	"blue"	Pig_feces_1_extraction_control_PBS	Negative_control	Negative_control	P1_Neg	0	NA	Unfrozen	Nothing	Nothing	NA	7	<0,5	0,5	11.04.16	0	7	0	0	P1EC	EC	EC	P1ECPBS_0h	Nextflex	Hiseq	241998	36541698	190581	21979667	106	16655	22441	38	18	83	330	3597	656	93	28	130283	0	29	15	44032	43646	174315	74.739982216103	8.53495364175862
2	DTU2016_MG_467_HX_P1EC_0h	P1EC_0h	2	2	DTU2016_MG_467_HX_P1EC_0h	Handling_experiment	Pig_feces_1	"blue"	Pig_feces_1_extraction_control_Blank	Negative_control	Negative_control	P1_Neg	0	NA	Unfrozen	Nothing	Nothing	NA	4	<0,5	0,5	11.04.16	0	7	0	0	P1EC	EC	EC	P1EC_0h	Nextflex	Hiseq	44725	6753475	33961	3854617	0	1361	2316	13	0	4	46	330	36	14	0	19440	0	0	0	4120	4061	23560	82.5127334465195	30.6263066458585
3	DTU2016_MG_468_HX_P1_0h_a	P1_0h_a	3	3	DTU2016_MG_468_HX_P1_0h_a	Handling_experiment	Pig_feces_1	"blue"	Pig_feces_1	Sample	Pig_feces_1	P1_Immediately	0	NA	Unfrozen	Nothing	Nothing	a	4	21,20	21,20	11.04.16	0	7	0	0	P1S1	Unspiked	0h	P1_0h_a	Nextflex	Hiseq	11134479	1681306329	9379461	1132126841.5	13936	492907	1245325	15454	994	512	345	81969	495	17289	9031	16532142	0	0	506	1869732	1852939	18401874	89.8394478736242	-96.1932993804228
4	DTU2016_MG_469_HX_P1_0h_b	P1_0h_b	4	4	DTU2016_MG_469_HX_P1_0h_b	Handling_experiment	Pig_feces_1	"blue"	Pig_feces_1	Sample	Pig_feces_1	P1_Immediately	0	NA	Unfrozen	Nothing	Nothing	b	6	55,00	55,00	11.04.16	0	7	0	0	P1S1	Unspiked	0h	P1_0h_b	Nextflex	Hiseq	15643896	2362228296	13698325	1754830608.5	12095	443147	901384	5190	259	264	173	60432	308	11558	6769	12178811	0	0	370	1435180	1429558	13613991	89.4580509124767	0.615651913646377
5	DTU2016_MG_470_HX_P1_0h_c	P1_0h_c	5	5	DTU2016_MG_470_HX_P1_0h_c	Handling_experiment	Pig_feces_1	"blue"	Pig_feces_1	Sample	Pig_feces_1	P1_Immediately	0	NA	Unfrozen	Nothing	Nothing	c	7	58,00	58,00	11.04.16	0	7	0	0	P1S1	Unspiked	0h	P1_0h_c	Nextflex	Hiseq	10724267	1619364317	8823874	1056256441.5	8427	304485	536318	3613	137	139	135	39566	208	7079	4102	7871946	0	0	252	900359	896474	8772305	89.7363463764655	0.584425842889416
6	DTU2016_MG_471_HX_P1MC_0h_a	P1MC_0h_a	6	6	DTU2016_MG_471_HX_P1MC_0h_a	Handling_experiment	Pig_feces_1	"blue"	Pig_feces_1_spiked	Sample	Pig_feces_1	P1_Immediately	0	NA	Unfrozen	Nothing	Nothing	a	4	48,80	48,80	11.04.16	0	7	0	0	P1S1MC	Spiked	0h	P1MC_0h_a	Nextflex	Hiseq	23881769	3606147119	20980276	2681260821	16345	1139774	1341897	8972	476	832	121	92551	327	17621	10177	17976531	0	4350	570	2619486	2609917	20596017	87.2815894451825	1.8315249999571
7	DTU2016_MG_472_HX_P1MC_0h_b	P1MC_0h_b	7	7	DTU2016_MG_472_HX_P1MC_0h_b	Handling_experiment	Pig_feces_1	"blue"	Pig_feces_1_spiked	Sample	Pig_feces_1	P1_Immediately	0	NA	Unfrozen	Nothing	Nothing	b	2	49,90	49,90	11.04.16	0	7	0	0	P1S1MC	Spiked	0h	P1MC_0h_b	Nextflex	Hiseq	35633237	5380618787	30501417	3933807818	23758	1758003	1827225	7637	487	849	213	126615	451	24337	13986	26465106	0	7061	836	3770411	3762074	30235517	87.5298609909664	0.871762777447356
8	DTU2016_MG_473_HX_P1MC_0h_c	P1MC_0h_c	8	8	DTU2016_MG_473_HX_P1MC_0h_c	Handling_experiment	Pig_feces_1	"blue"	Pig_feces_1_spiked	Sample	Pig_feces_1	P1_Immediately	0	NA	Unfrozen	Nothing	Nothing	c	7	57,00	57,00	11.04.16	0	7	0	0	P1S1MC	Spiked	0h	P1MC_0h_c	Nextflex	Hiseq	10155265	1533445015	8244548	978827635	6781	458723	510819	2033	170	238	213	34553	102	6379	3795	7107573	0	1694	191	1020202	1017786	8127775	87.4479546985491	1.41636630655798
9	DTU2016_MG_474_HX_P1pureMC_0h_a	P1pureMC_0h_a	9	9	DTU2016_MG_474_HX_P1pureMC_0h_a	Handling_experiment	Pig_feces_1	"blue"	Pig_feces_1_mock_community	Mock_community	Mock_community	P1_MC	0	NA	Unfrozen	Nothing	Nothing	a	1	1,91	1,91	11.04.16	0	7	0	0	P1S1pureMC	pureMC	MC	P1pureMC_0h_a	Nextflex	Hiseq	7216199	1089646049	6265651	811307896	23	5995002	11682	109	14	2268	46	11130	78	1061	0	196522	9854	64609	191	6021604	6021435	6218126	3.16046989076773	0.758500593154646
10	DTU2016_MG_475_HX_P1pureMC_0h_b	P1pureMC_0h_b	10	10	DTU2016_MG_475_HX_P1pureMC_0h_b	Handling_experiment	Pig_feces_1	"blue"	Pig_feces_1_mock_community	Mock_community	Mock_community	P1_MC	0	NA	Unfrozen	Nothing	Nothing	b	8	1,85	1,85	11.04.16	0	7	0	0	P1S1pureMC	pureMC	MC	P1pureMC_0h_b	Nextflex	Hiseq	16783163	2534257613	15027048	1934453239	66	14563247	17354	192	20	6057	1136	26799	132	2413	0	284923	24248	161895	488	14617904	14616556	14902827	1.91187215687332	0.826649385827476
