Domain	Phylum	Class	Order	Family	Genus
1	Viruses	Unknown	Unknown	Unknown	Unknown	Unknown
2	Viruses	Unknown	Unknown	Unknown	Genomoviridae	Gemycircularvirus
3	Viruses	Unknown	Unknown	Unknown	Genomoviridae	Gemykibivirus
4	Viruses	Unknown	Unknown	Unknown	Retroviridae	Alpharetrovirus
5	Viruses	Unknown	Unknown	Unknown	Retroviridae	Gammaretrovirus
6	Viruses	Unknown	Unknown	Unknown	Microviridae	Chlamydiamicrovirus
7	Viruses	Unknown	Unknown	Unknown	Microviridae	Bdellomicrovirus
8	Viruses	Unknown	Unknown	Unknown	Partitiviridae	Betapartitivirus
9	Viruses	Unknown	Unknown	Unknown	Polyomaviridae	Deltapolyomavirus
10	Viruses	Unknown	Unknown	Unknown	Parvoviridae	Bocaparvovirus
11	Viruses	Unknown	Unknown	Unknown	Polyomaviridae	Betapolyomavirus
12	Viruses	Unknown	Unknown	Unknown	Polyomaviridae	Alphapolyomavirus
13	Viruses	Unknown	Unknown	Unknown	Microviridae	G4microvirus
14	Viruses	Unknown	Unknown	Unknown	Parvoviridae	Copiparvovirus
15	Viruses	Unknown	Unknown	Unknown	Microviridae	Alpha3microvirus
16	Viruses	Unknown	Unknown	Unknown	Virgaviridae	Tobamovirus
17	Viruses	Unknown	Unknown	Unknown	Inoviridae	Lineavirus
18	Viruses	Unknown	Unknown	Picornavirales	Picornaviridae	Teschovirus
19	Viruses	Unknown	Unknown	Unknown	Papillomaviridae	Gammapapillomavirus
20	Viruses	Unknown	Unknown	Unknown	Caulimoviridae	Badnavirus
21	Viruses	Unknown	Unknown	Unknown	Caulimoviridae	Cavemovirus
22	Viruses	Unknown	Unknown	Picornavirales	Picornaviridae	Cardiovirus
23	Viruses	Unknown	Unknown	Unknown	Papillomaviridae	Alphapapillomavirus
24	Viruses	Unknown	Unknown	Unknown	Caulimoviridae	Caulimovirus
25	Viruses	Unknown	Unknown	Picornavirales	Picornaviridae	Limnipivirus
26	Viruses	Unknown	Unknown	Unknown	Bromoviridae	Bromovirus
27	Viruses	Unknown	Unknown	Unknown	Retroviridae	Betaretrovirus
28	Viruses	Unknown	Unknown	Unknown	Flaviviridae	Hepacivirus
29	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	P2virus
30	Viruses	Unknown	Unknown	Unknown	Plasmaviridae	Plasmavirus
31	Viruses	Unknown	Unknown	Unknown	Tectiviridae	Tectivirus
32	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	Cp1virus
33	Viruses	Unknown	Unknown	Unknown	Sphaerolipoviridae	Gammasphaerolipovirus
34	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	C2virus
35	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Sk1virus
36	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Pa6virus
37	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	C5virus
38	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	Fri1virus
39	Viruses	Unknown	Unknown	Unknown	Adenoviridae	Mastadenovirus
40	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Hp1virus
41	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Muvirus
42	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	D3112virus
43	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Sfi11virus
44	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Sfi21dt1virus
45	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Cronusvirus
46	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Phifelvirus
47	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Lambdavirus
48	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Phijl1virus
49	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Bcepmuvirus
50	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	T7virus
51	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Hapunavirus
52	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	Prtbvirus
53	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	P22virus
54	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	Epsilon15virus
55	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Cba181virus
56	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Phietavirus
57	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	Kp32virus
58	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	Phikmvvirus
59	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Jerseyvirus
60	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	K1gvirus
61	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Cvm10virus
62	Viruses	Unknown	Unknown	Unknown	Adenoviridae	Aviadenovirus
63	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	Kp34virus
64	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Sp31virus
65	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	Bpp1virus
66	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Charlievirus
67	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Msw3virus
68	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Septima3virus
69	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Hk578virus
70	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	Sp6virus
71	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	Pradovirus
72	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Xp10virus
73	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Titanvirus
74	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Biseptimavirus
75	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	Luz24virus
76	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Rtpvirus
77	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	N15virus
78	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	T1virus
79	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	L5virus
80	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Jwxvirus
81	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Ff47virus
82	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Kp36virus
83	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Phayoncevirus
84	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Tlsvirus
85	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	Nonanavirus
86	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Sap6virus
87	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Pamx74virus
88	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	D3virus
89	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Ab18virus
90	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Nonagvirus
91	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Seuratvirus
92	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Ydn12virus
93	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	Nona33virus
94	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Che8virus
95	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Np1virus
96	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Yuavirus
97	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Chivirus
98	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Mudcatvirus
99	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	Pocjvirus
100	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	Bcep22virus
101	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	Tl2011virus
102	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	Kpp25virus
103	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	F116virus
104	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Pbunavirus
105	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Pipefishvirus
106	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	G7cvirus
107	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Acadianvirus
108	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	N4virus
109	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Patiencevirus
110	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Coopervirus
111	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Barnyardvirus
112	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Woesvirus
113	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	Ea92virus
114	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Gordtnkvirus
115	Viruses	Unknown	Unknown	Caudovirales	Podoviridae	Phieco32virus
116	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Tin2virus
117	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Pepy6virus
118	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Felixo1virus
119	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Mooglevirus
120	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Suspvirus
121	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Sextaecvirus
122	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	P1virus
123	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	T4virus
124	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	T5virus
125	Viruses	Unknown	Unknown	Herpesvirales	Herpesviridae	Rhadinovirus
126	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Spo1virus
127	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Spbetavirus
128	Viruses	Unknown	Unknown	Herpesvirales	Herpesviridae	Macavirus
129	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Twortvirus
130	Viruses	Unknown	Unknown	Unknown	Baculoviridae	Alphabaculovirus
131	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Cp8virus
132	Viruses	Unknown	Unknown	Herpesvirales	Alloherpesviridae	Ictalurivirus
133	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	V5virus
134	Viruses	Unknown	Unknown	Herpesvirales	Herpesviridae	Roseolovirus
135	Viruses	Unknown	Unknown	Herpesvirales	Herpesviridae	Varicellovirus
136	Bacteria	Proteobacteria	Betaproteobacteria	Unknown	Unknown	Candidatus Tremblaya
137	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Kayvirus
138	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Sep1virus
139	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Cr3virus
140	Bacteria	Proteobacteria	Betaproteobacteria	Unknown	Unknown	Candidatus Nasuia
141	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Se1virus
142	Viruses	Unknown	Unknown	Herpesvirales	Herpesviridae	Simplexvirus
143	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Nit1virus
144	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Vi1virus
145	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Tsarbombavirus
146	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	S16virus
147	Viruses	Unknown	Unknown	Unknown	Poxviridae	Leporipoxvirus
148	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Secunda5virus
149	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Tg1virus
150	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Rb49virus
151	Viruses	Unknown	Unknown	Herpesvirales	Herpesviridae	Mardivirus
152	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Cc31virus
153	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Jd18virus
154	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Rb69virus
155	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Js98virus
156	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Sp18virus
157	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Moonvirus
158	Viruses	Unknown	Unknown	Herpesvirales	Herpesviridae	Lymphocryptovirus
