Gene Description
ARR-3_1_JF806499 Rifampicin
ARR-3_4_FM207631 Rifampicin
ARR-6_3_JF922883 Rifampicin
POM-1_1_GU002295 Beta-lactam
QnrB10_8_HM439644 Quinolone
QnrB11_1_EU136183 Quinolone
QnrB13_1_EU273755 Quinolone
QnrB13_1_JN173050 Quinolone
QnrB13_2_EU273756 Quinolone
QnrB17_2_AM919398 Quinolone
QnrB19_1_HM146784 Quinolone
QnrB1_1_EF682133 Quinolone
QnrB21_1_FJ611948 Quinolone
QnrB23_1_FJ981622 Quinolone
QnrB27_2_HM439642 Quinolone
QnrB29_2_JN173053 Quinolone
QnrB30_1_HM439650 Quinolone
QnrB32_2_JN173054 Quinolone
QnrB35_1_JN173057 Quinolone
QnrB36_1_JN173058 Quinolone
QnrB38_1_JN173060 Quinolone
QnrB3_1_DQ303920 Quinolone
QnrB41_1_JN166690 Quinolone
QnrB43_1_AFA52643 Quinolone
QnrB44_1_JQ349153 Quinolone
QnrB45_1_JQ349152 Quinolone
QnrB4_1_DQ303921 Quinolone
QnrB54_1_HE820727 Quinolone
QnrB57_1_JX259318 Quinolone
QnrB58_1_JX259319 Quinolone
QnrB5_1_DQ303919 Quinolone
QnrB60_1_AB734055 Quinolone
QnrB62_1_JX987101 Quinolone
QnrB64_1_KC580653 Quinolone
QnrB66_1_KC580655 Quinolone
QnrB68_1_KC580657 Quinolone
QnrB69_1_KC580658 Quinolone
QnrB6_1_EF520349 Quinolone
QnrB6_3_EF523819 Quinolone
QnrB71_1_KC580660 Quinolone
QnrB7_1_EU043311 Quinolone
QnrB8_1_EU043312 Quinolone
QnrD_1_FJ228229 Quinolone
QnrS1_1_AB187515 Quinolone
QnrS2_1_JF261185 Quinolone
QnrS3_1_EU077611 Quinolone
QnrS4_1_FJ418153 Quinolone
QnrS6_1_HQ631376 Quinolone
QnrVC1_1_EU436855.2 Quinolone
QnrVC4_1_GQ891757 Quinolone
QnrVC5_1_JN408080 Quinolone
VanB_1_AF192329 Vancomycin
VanC_1_AF162694 Vancomycin
VanC_5_EU151754 Vancomycin
VanD_3_AY082011 Vancomycin
VanG_1_AY271782 Vancomycin
VanH-A_1_FJ866609 Vancomycin
VanH-B_1_AF192329 Vancomycin
VanH-D_4_AY489045 Vancomycin
VanH-E_1_AF155139 Vancomycin
VanR-B_1_AF192329 Vancomycin
VanR-C_1_AF162694 Vancomycin
VanR-D_2_AF175293 Vancomycin
VanR-G_1_AY271782 Vancomycin
VanS-B_1_AF192329 Vancomycin
